guid,rd_id
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE111230,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE111230
https://doi.org/10.6084/m9.figshare.12901682,https://doi.org/10.6084/m9.figshare.12901682
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE101409,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE101409
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE150753,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE150753
http://doi.org/doi:10.1073/pnas.2004563117,http://doi.org/doi:10.1073/pnas.2004563117
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE123593,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE123593
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158312,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158312
https://massive.ucsd.edu/ProteoSAFe/dataset_files.jsp?task=e50e8f39be94497db47a71a45a3becaf#%7B%22table_sort_history%22%3A%22main.collection_asc%22%7D,https://massive.ucsd.edu/ProteoSAFe/dataset_files.jsp?task=e50e8f39be94497db47a71a45a3becaf#%7B%22table_sort_history%22%3A%22main.collection_asc%22%7D
http://doi.org/10.2210/pdb6Q9M/pdb,http://doi.org/10.2210/pdb6Q9M/pdb
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE143522,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE143522
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE129262,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE129262
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE141876,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE141876
https://doi.org/10.17632/nrj467zmj2.1,https://doi.org/10.17632/nrj467zmj2.1
https://www.addgene.org/137191/,https://www.addgene.org/137191/
https://github.com/juzb/CASANOVA-C3/tree/master/output/CN-C3,https://github.com/juzb/CASANOVA-C3/tree/master/output/CN-C3
https://www.ebi.ac.uk/pride/archive/projects/PXD011887,https://www.ebi.ac.uk/pride/archive/projects/PXD011887
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE131255,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE131255
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145530,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145530
https://doi.org/10.6084/m9.figshare.c.4795809,https://doi.org/10.6084/m9.figshare.c.4795809
https://www.ebi.ac.uk/ena/browser/view/PRJEB37836?show=reads,https://www.ebi.ac.uk/ena/browser/view/PRJEB37836?show=reads
http://doi.org/10.17605/OSF.IO/UXNC5,http://doi.org/10.17605/OSF.IO/UXNC5
